i,star,start_time,end_time,exposure_time
148,V* V732 Her,2024-10-02 21:09:59.439,2024-10-02 21:10:24.439,25.0
149,V* V732 Her,2024-10-02 21:10:24.439,2024-10-02 21:10:49.439,25.0
150,V* V732 Her,2024-10-02 21:10:49.439,2024-10-02 21:11:14.439,25.0
151,V* V732 Her,2024-10-02 21:11:14.439,2024-10-02 21:11:39.439,25.0
152,V* V732 Her,2024-10-02 21:11:39.439,2024-10-02 21:12:04.439,25.0
153,V* V732 Her,2024-10-02 21:12:04.439,2024-10-02 21:12:29.439,25.0
154,V* V732 Her,2024-10-02 21:12:29.439,2024-10-02 21:12:54.439,25.0
155,V* V732 Her,2024-10-02 21:12:54.439,2024-10-02 21:13:19.439,25.0
156,V* V732 Her,2024-10-02 21:13:19.439,2024-10-02 21:13:44.439,25.0
157,V* V732 Her,2024-10-02 21:13:44.439,2024-10-02 21:14:09.439,25.0
158,V* V732 Her,2024-10-02 21:14:09.439,2024-10-02 21:14:34.439,25.0
159,V* V732 Her,2024-10-02 21:14:34.439,2024-10-02 21:14:59.439,25.0
160,V* V732 Her,2024-10-02 21:14:59.439,2024-10-02 21:15:24.439,25.0
161,V* V732 Her,2024-10-02 21:15:24.439,2024-10-02 21:15:49.439,25.0
162,V* V732 Her,2024-10-02 21:15:49.439,2024-10-02 21:16:14.439,25.0
163,V* V732 Her,2024-10-02 21:16:14.439,2024-10-02 21:16:39.439,25.0
164,V* V732 Her,2024-10-02 21:16:39.439,2024-10-02 21:17:04.439,25.0
165,V* V732 Her,2024-10-02 21:17:04.439,2024-10-02 21:17:29.439,25.0
166,V* V732 Her,2024-10-02 21:17:29.439,2024-10-02 21:17:54.439,25.0
167,V* V732 Her,2024-10-02 21:17:54.439,2024-10-02 21:18:19.439,25.0
168,V* V732 Her,2024-10-02 21:18:19.439,2024-10-02 21:18:44.439,25.0
169,V* V732 Her,2024-10-02 21:18:44.439,2024-10-02 21:19:09.439,25.0
170,V* V732 Her,2024-10-02 21:19:09.439,2024-10-02 21:19:34.439,25.0
171,V* V732 Her,2024-10-02 21:19:34.439,2024-10-02 21:19:59.439,25.0
172,V* V732 Her,2024-10-02 21:19:59.439,2024-10-02 21:20:24.439,25.0
173,V* V732 Her,2024-10-02 21:20:24.439,2024-10-02 21:20:49.439,25.0
174,V* V732 Her,2024-10-02 21:20:49.439,2024-10-02 21:21:14.439,25.0
175,V* V732 Her,2024-10-02 21:21:14.439,2024-10-02 21:21:39.439,25.0
176,V* V732 Her,2024-10-02 21:21:39.439,2024-10-02 21:22:04.439,25.0
177,V* V732 Her,2024-10-02 21:22:04.439,2024-10-02 21:22:29.439,25.0
178,V* V732 Her,2024-10-02 21:22:29.439,2024-10-02 21:22:54.439,25.0
179,V* V732 Her,2024-10-02 21:22:54.439,2024-10-02 21:23:19.439,25.0
180,V* V732 Her,2024-10-02 21:23:19.439,2024-10-02 21:23:44.439,25.0
181,V* V732 Her,2024-10-02 21:23:44.439,2024-10-02 21:24:09.439,25.0
182,V* V732 Her,2024-10-02 21:24:09.439,2024-10-02 21:24:34.439,25.0
183,V* V732 Her,2024-10-02 21:24:34.439,2024-10-02 21:24:59.439,25.0
184,V* V732 Her,2024-10-02 21:24:59.439,2024-10-02 21:25:24.439,25.0
185,V* V732 Her,2024-10-02 21:25:24.439,2024-10-02 21:25:49.439,25.0
186,V* V732 Her,2024-10-02 21:25:49.439,2024-10-02 21:26:14.439,25.0
187,V* V732 Her,2024-10-02 21:26:14.439,2024-10-02 21:26:39.439,25.0
188,V* V732 Her,2024-10-02 21:26:39.439,2024-10-02 21:27:04.439,25.0
189,V* V732 Her,2024-10-02 21:27:04.439,2024-10-02 21:27:29.439,25.0
190,V* V732 Her,2024-10-02 21:27:29.439,2024-10-02 21:27:54.439,25.0
191,V* V732 Her,2024-10-02 21:27:54.439,2024-10-02 21:28:19.439,25.0
192,V* V732 Her,2024-10-02 21:28:19.439,2024-10-02 21:28:44.439,25.0
193,V* V732 Her,2024-10-02 21:28:44.439,2024-10-02 21:29:09.439,25.0
194,V* V732 Her,2024-10-02 21:29:09.439,2024-10-02 21:29:34.439,25.0
195,V* V732 Her,2024-10-02 21:29:34.439,2024-10-02 21:29:59.439,25.0
196,V* V732 Her,2024-10-02 21:29:59.439,2024-10-02 21:30:24.439,25.0
197,V* V732 Her,2024-10-02 21:30:24.439,2024-10-02 21:30:49.439,25.0
198,V* V732 Her,2024-10-02 21:30:49.439,2024-10-02 21:31:14.439,25.0
199,V* V732 Her,2024-10-02 21:31:14.439,2024-10-02 21:31:39.439,25.0
200,V* V732 Her,2024-10-02 21:31:39.439,2024-10-02 21:32:04.439,25.0
201,V* V732 Her,2024-10-02 21:32:04.439,2024-10-02 21:32:29.439,25.0
202,V* V732 Her,2024-10-02 21:32:29.439,2024-10-02 21:32:54.439,25.0
203,V* V732 Her,2024-10-02 21:32:54.439,2024-10-02 21:33:19.439,25.0
204,V* V732 Her,2024-10-02 21:33:19.439,2024-10-02 21:33:44.439,25.0
205,V* V732 Her,2024-10-02 21:33:44.439,2024-10-02 21:34:09.439,25.0
206,V* V732 Her,2024-10-02 21:34:09.439,2024-10-02 21:34:34.439,25.0
207,V* V732 Her,2024-10-02 21:34:34.439,2024-10-02 21:34:59.439,25.0
208,V* V732 Her,2024-10-02 21:34:59.439,2024-10-02 21:35:24.439,25.0
209,V* V732 Her,2024-10-02 21:35:24.439,2024-10-02 21:35:49.439,25.0
210,V* V732 Her,2024-10-02 21:35:49.439,2024-10-02 21:36:14.439,25.0
211,V* V732 Her,2024-10-02 21:36:14.439,2024-10-02 21:36:39.439,25.0
212,V* V732 Her,2024-10-02 21:36:39.439,2024-10-02 21:37:04.439,25.0
213,V* V732 Her,2024-10-02 21:37:04.439,2024-10-02 21:37:29.439,25.0
214,V* V732 Her,2024-10-02 21:37:29.439,2024-10-02 21:37:54.439,25.0
215,V* V732 Her,2024-10-02 21:37:54.439,2024-10-02 21:38:19.439,25.0
216,V* V732 Her,2024-10-02 21:38:19.439,2024-10-02 21:38:44.439,25.0
217,V* V732 Her,2024-10-02 21:38:44.439,2024-10-02 21:39:09.439,25.0
218,V* V732 Her,2024-10-02 21:39:09.439,2024-10-02 21:39:34.439,25.0
219,V* V732 Her,2024-10-02 21:39:34.439,2024-10-02 21:39:59.439,25.0
220,V* V732 Her,2024-10-02 21:39:59.439,2024-10-02 21:40:24.439,25.0
221,V* V732 Her,2024-10-02 21:40:24.439,2024-10-02 21:40:49.439,25.0
222,V* V732 Her,2024-10-02 21:40:49.439,2024-10-02 21:41:14.439,25.0
223,V* V732 Her,2024-10-02 21:41:14.439,2024-10-02 21:41:39.439,25.0
224,V* V732 Her,2024-10-02 21:41:39.439,2024-10-02 21:42:04.439,25.0
225,V* V732 Her,2024-10-02 21:42:04.439,2024-10-02 21:42:29.439,25.0
226,V* V732 Her,2024-10-02 21:42:29.439,2024-10-02 21:42:54.439,25.0
227,V* V732 Her,2024-10-02 21:42:54.439,2024-10-02 21:43:19.439,25.0
228,V* V732 Her,2024-10-02 21:43:19.439,2024-10-02 21:43:44.439,25.0
229,V* V732 Her,2024-10-02 21:43:44.439,2024-10-02 21:44:09.439,25.0
230,V* V732 Her,2024-10-02 21:44:09.439,2024-10-02 21:44:34.439,25.0
231,V* V732 Her,2024-10-02 21:44:34.439,2024-10-02 21:44:59.439,25.0
232,V* V732 Her,2024-10-02 21:44:59.439,2024-10-02 21:45:24.439,25.0
233,V* V732 Her,2024-10-02 21:45:24.439,2024-10-02 21:45:49.439,25.0
234,V* V732 Her,2024-10-02 21:45:49.439,2024-10-02 21:46:14.439,25.0
235,V* V732 Her,2024-10-02 21:46:14.439,2024-10-02 21:46:39.439,25.0
236,V* V732 Her,2024-10-02 21:46:39.439,2024-10-02 21:47:04.439,25.0
237,V* V732 Her,2024-10-02 21:47:04.439,2024-10-02 21:47:29.439,25.0
238,V* V732 Her,2024-10-02 21:47:29.439,2024-10-02 21:47:54.439,25.0
239,V* V732 Her,2024-10-02 21:47:54.439,2024-10-02 21:48:19.439,25.0
240,V* V732 Her,2024-10-02 21:48:19.439,2024-10-02 21:48:44.439,25.0
241,V* V732 Her,2024-10-02 21:48:44.439,2024-10-02 21:49:09.439,25.0
242,V* V732 Her,2024-10-02 21:49:09.439,2024-10-02 21:49:34.439,25.0
243,V* V732 Her,2024-10-02 21:49:34.439,2024-10-02 21:49:59.439,25.0
244,V* V732 Her,2024-10-02 21:49:59.439,2024-10-02 21:50:24.439,25.0
245,V* V732 Her,2024-10-02 21:50:24.439,2024-10-02 21:50:49.439,25.0
246,V* V732 Her,2024-10-02 21:50:49.439,2024-10-02 21:51:14.439,25.0
247,V* V732 Her,2024-10-02 21:51:14.439,2024-10-02 21:51:39.439,25.0
248,V* V732 Her,2024-10-02 21:51:39.439,2024-10-02 21:52:04.439,25.0
249,V* V732 Her,2024-10-02 21:52:04.439,2024-10-02 21:52:29.439,25.0
250,V* V732 Her,2024-10-02 21:52:29.439,2024-10-02 21:52:54.439,25.0
251,V* V732 Her,2024-10-02 21:52:54.439,2024-10-02 21:53:19.439,25.0
252,V* V732 Her,2024-10-02 21:53:19.439,2024-10-02 21:53:44.439,25.0
253,V* V732 Her,2024-10-02 21:53:44.439,2024-10-02 21:54:09.439,25.0
254,V* V732 Her,2024-10-02 21:54:09.439,2024-10-02 21:54:34.439,25.0
255,V* V732 Her,2024-10-02 21:54:34.439,2024-10-02 21:54:59.439,25.0
256,V* V732 Her,2024-10-02 21:54:59.439,2024-10-02 21:55:24.439,25.0
257,V* V732 Her,2024-10-02 21:55:24.439,2024-10-02 21:55:49.439,25.0
258,V* V732 Her,2024-10-02 21:55:49.439,2024-10-02 21:56:14.439,25.0
259,V* V732 Her,2024-10-02 21:56:14.439,2024-10-02 21:56:39.439,25.0
260,V* V732 Her,2024-10-02 21:56:39.439,2024-10-02 21:57:04.439,25.0
261,V* V732 Her,2024-10-02 21:57:04.439,2024-10-02 21:57:29.439,25.0
262,V* V732 Her,2024-10-02 21:57:29.439,2024-10-02 21:57:54.439,25.0
263,V* V732 Her,2024-10-02 21:57:54.439,2024-10-02 21:58:19.439,25.0
264,V* V732 Her,2024-10-02 21:58:19.439,2024-10-02 21:58:44.439,25.0
265,V* V732 Her,2024-10-02 21:58:44.439,2024-10-02 21:59:09.439,25.0
266,V* V732 Her,2024-10-02 21:59:09.439,2024-10-02 21:59:34.439,25.0
267,V* V732 Her,2024-10-02 21:59:34.439,2024-10-02 21:59:59.439,25.0
268,V* V732 Her,2024-10-02 21:59:59.439,2024-10-02 22:00:24.439,25.0
269,V* V732 Her,2024-10-02 22:00:24.439,2024-10-02 22:00:49.439,25.0
270,V* V732 Her,2024-10-02 22:00:49.439,2024-10-02 22:01:14.439,25.0
271,V* V732 Her,2024-10-02 22:01:14.439,2024-10-02 22:01:39.439,25.0
272,V* V732 Her,2024-10-02 22:01:39.439,2024-10-02 22:02:04.439,25.0
